['47', ['081109', '203523', '148', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['48', ['081109', '203523', '149', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['65', ['081109', '203525', '150', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['70', ['081109', '203526', '149', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['71', ['081109', '203526', '150', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['72', ['081109', '203526', '151', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['81', ['081109', '203527', '149', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['82', ['081109', '203527', '150', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['83', ['081109', '203527', '150', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['84', ['081109', '203527', '150', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['85', ['081109', '203527', '150', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['86', ['081109', '203527', '151', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
['87', ['081109', '203527', '151', 'INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to', 'E3', '<*>', 'Served', 'block', '<*>', 'to', '/<*>']]
