['393', ['081109', '203531', '19', 'INFO', 'dfs.DataNode', 'Starting', 'thread', 'to', 'transfer', 'block', 'to', 'E18', '<*>', 'Starting', 'thread', 'to', 'transfer', 'block', '<*>', 'to', '<*>']]
['72372', ['081109', '204521', '19', 'INFO', 'dfs.DataNode', 'Starting', 'thread', 'to', 'transfer', 'block', 'to', 'E18', '<*>', 'Starting', 'thread', 'to', 'transfer', 'block', '<*>', 'to', '<*>']]
['77075', ['081109', '204556', '18', 'INFO', 'dfs.DataNode', 'Starting', 'thread', 'to', 'transfer', 'block', 'to', 'E18', '<*>', 'Starting', 'thread', 'to', 'transfer', 'block', '<*>', 'to', '<*>']]
['77478', ['081109', '204558', '19', 'INFO', 'dfs.DataNode', 'Starting', 'thread', 'to', 'transfer', 'block', 'to', 'E18', '<*>', 'Starting', 'thread', 'to', 'transfer', 'block', '<*>', 'to', '<*>']]
['77700', ['081109', '204600', '19', 'INFO', 'dfs.DataNode', 'Starting', 'thread', 'to', 'transfer', 'block', 'to', 'E18', '<*>', 'Starting', 'thread', 'to', 'transfer', 'block', '<*>', 'to', '<*>']]
['80002', ['081109', '204618', '19', 'INFO', 'dfs.DataNode', 'Starting', 'thread', 'to', 'transfer', 'block', 'to', 'E18', '<*>', 'Starting', 'thread', 'to', 'transfer', 'block', '<*>', 'to', '<*>']]
['80003', ['081109', '204618', '19', 'INFO', 'dfs.DataNode', 'Starting', 'thread', 'to', 'transfer', 'block', 'to', 'E18', '<*>', 'Starting', 'thread', 'to', 'transfer', 'block', '<*>', 'to', '<*>']]
['80385', ['081109', '204620', '19', 'INFO', 'dfs.DataNode', 'Starting', 'thread', 'to', 'transfer', 'block', 'to', 'E18', '<*>', 'Starting', 'thread', 'to', 'transfer', 'block', '<*>', 'to', '<*>']]
['80386', ['081109', '204620', '19', 'INFO', 'dfs.DataNode', 'Starting', 'thread', 'to', 'transfer', 'block', 'to', 'E18', '<*>', 'Starting', 'thread', 'to', 'transfer', 'block', '<*>', 'to', '<*>']]
['80779', ['081109', '204622', '19', 'INFO', 'dfs.DataNode', 'Starting', 'thread', 'to', 'transfer', 'block', 'to', 'E18', '<*>', 'Starting', 'thread', 'to', 'transfer', 'block', '<*>', 'to', '<*>']]
['81403', ['081109', '204626', '19', 'INFO', 'dfs.DataNode', 'Starting', 'thread', 'to', 'transfer', 'block', 'to', 'E18', '<*>', 'Starting', 'thread', 'to', 'transfer', 'block', '<*>', 'to', '<*>']]
['83749', ['081109', '204640', '19', 'INFO', 'dfs.DataNode', 'Starting', 'thread', 'to', 'transfer', 'block', 'to', 'E18', '<*>', 'Starting', 'thread', 'to', 'transfer', 'block', '<*>', 'to', '<*>']]
['84241', ['081109', '204643', '19', 'INFO', 'dfs.DataNode', 'Starting', 'thread', 'to', 'transfer', 'block', 'to', 'E18', '<*>', 'Starting', 'thread', 'to', 'transfer', 'block', '<*>', 'to', '<*>']]
['85220', ['081109', '204650', '19', 'INFO', 'dfs.DataNode', 'Starting', 'thread', 'to', 'transfer', 'block', 'to', 'E18', '<*>', 'Starting', 'thread', 'to', 'transfer', 'block', '<*>', 'to', '<*>']]
['86204', ['081109', '204656', '19', 'INFO', 'dfs.DataNode', 'Starting', 'thread', 'to', 'transfer', 'block', 'to', 'E18', '<*>', 'Starting', 'thread', 'to', 'transfer', 'block', '<*>', 'to', '<*>']]
['86671', ['081109', '204659', '19', 'INFO', 'dfs.DataNode', 'Starting', 'thread', 'to', 'transfer', 'block', 'to', 'E18', '<*>', 'Starting', 'thread', 'to', 'transfer', 'block', '<*>', 'to', '<*>']]
['88016', ['081109', '204708', '19', 'INFO', 'dfs.DataNode', 'Starting', 'thread', 'to', 'transfer', 'block', 'to', 'E18', '<*>', 'Starting', 'thread', 'to', 'transfer', 'block', '<*>', 'to', '<*>']]
['91894', ['081109', '204735', '19', 'INFO', 'dfs.DataNode', 'Starting', 'thread', 'to', 'transfer', 'block', 'to', 'E18', '<*>', 'Starting', 'thread', 'to', 'transfer', 'block', '<*>', 'to', '<*>']]
['92233', ['081109', '204737', '19', 'INFO', 'dfs.DataNode', 'Starting', 'thread', 'to', 'transfer', 'block', 'to', 'E18', '<*>', 'Starting', 'thread', 'to', 'transfer', 'block', '<*>', 'to', '<*>']]
['95414', ['081109', '204801', '18', 'INFO', 'dfs.DataNode', 'Starting', 'thread', 'to', 'transfer', 'block', 'to', 'E18', '<*>', 'Starting', 'thread', 'to', 'transfer', 'block', '<*>', 'to', '<*>']]
['97374', ['081109', '204816', '19', 'INFO', 'dfs.DataNode', 'Starting', 'thread', 'to', 'transfer', 'block', 'to', 'E18', '<*>', 'Starting', 'thread', 'to', 'transfer', 'block', '<*>', 'to', '<*>']]
['99876', ['081109', '204835', '19', 'INFO', 'dfs.DataNode', 'Starting', 'thread', 'to', 'transfer', 'block', 'to', 'E18', '<*>', 'Starting', 'thread', 'to', 'transfer', 'block', '<*>', 'to', '<*>']]
['104022', ['081109', '205213', '19', 'INFO', 'dfs.DataNode', 'Starting', 'thread', 'to', 'transfer', 'block', 'to', 'E18', '<*>', 'Starting', 'thread', 'to', 'transfer', 'block', '<*>', 'to', '<*>']]
