['2082', ['081109', '203552', '13', 'INFO', 'dfs.DataBlockScanner', 'Verification', 'succeeded', 'for', 'E2', 'Verification', 'succeeded', 'for', '<*>']]
['10398', ['081109', '203709', '13', 'INFO', 'dfs.DataBlockScanner', 'Verification', 'succeeded', 'for', 'E2', 'Verification', 'succeeded', 'for', '<*>']]
['10756', ['081109', '203712', '13', 'INFO', 'dfs.DataBlockScanner', 'Verification', 'succeeded', 'for', 'E2', 'Verification', 'succeeded', 'for', '<*>']]
['11340', ['081109', '203716', '13', 'INFO', 'dfs.DataBlockScanner', 'Verification', 'succeeded', 'for', 'E2', 'Verification', 'succeeded', 'for', '<*>']]
['11818', ['081109', '203719', '13', 'INFO', 'dfs.DataBlockScanner', 'Verification', 'succeeded', 'for', 'E2', 'Verification', 'succeeded', 'for', '<*>']]
['11819', ['081109', '203719', '13', 'INFO', 'dfs.DataBlockScanner', 'Verification', 'succeeded', 'for', 'E2', 'Verification', 'succeeded', 'for', '<*>']]
['12177', ['081109', '203722', '13', 'INFO', 'dfs.DataBlockScanner', 'Verification', 'succeeded', 'for', 'E2', 'Verification', 'succeeded', 'for', '<*>']]
['12325', ['081109', '203724', '13', 'INFO', 'dfs.DataBlockScanner', 'Verification', 'succeeded', 'for', 'E2', 'Verification', 'succeeded', 'for', '<*>']]
['12714', ['081109', '203727', '13', 'INFO', 'dfs.DataBlockScanner', 'Verification', 'succeeded', 'for', 'E2', 'Verification', 'succeeded', 'for', '<*>']]
['12973', ['081109', '203729', '13', 'INFO', 'dfs.DataBlockScanner', 'Verification', 'succeeded', 'for', 'E2', 'Verification', 'succeeded', 'for', '<*>']]
['12974', ['081109', '203729', '13', 'INFO', 'dfs.DataBlockScanner', 'Verification', 'succeeded', 'for', 'E2', 'Verification', 'succeeded', 'for', '<*>']]
['12975', ['081109', '203729', '13', 'INFO', 'dfs.DataBlockScanner', 'Verification', 'succeeded', 'for', 'E2', 'Verification', 'succeeded', 'for', '<*>']]
['13107', ['081109', '203730', '13', 'INFO', 'dfs.DataBlockScanner', 'Verification', 'succeeded', 'for', 'E2', 'Verification', 'succeeded', 'for', '<*>']]
['13324', ['081109', '203731', '13', 'INFO', 'dfs.DataBlockScanner', 'Verification', 'succeeded', 'for', 'E2', 'Verification', 'succeeded', 'for', '<*>']]
