['28755', ['081109', '203932', '307', 'INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream', 'E7', 'writeBlock', '<*>', 'received', 'exception', '<*>']]
['30815', ['081109', '203948', '305', 'INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream', 'E7', 'writeBlock', '<*>', 'received', 'exception', '<*>']]
['32522', ['081109', '204002', '317', 'INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream', 'E7', 'writeBlock', '<*>', 'received', 'exception', '<*>']]
['34077', ['081109', '204014', '325', 'INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream', 'E7', 'writeBlock', '<*>', 'received', 'exception', '<*>']]
['36149', ['081109', '204031', '329', 'INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream', 'E7', 'writeBlock', '<*>', 'received', 'exception', '<*>']]
['37531', ['081109', '204042', '336', 'INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream', 'E7', 'writeBlock', '<*>', 'received', 'exception', '<*>']]
['38942', ['081109', '204053', '361', 'INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream', 'E7', 'writeBlock', '<*>', 'received', 'exception', '<*>']]
['41739', ['081109', '204115', '362', 'INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream', 'E7', 'writeBlock', '<*>', 'received', 'exception', '<*>']]
['43082', ['081109', '204127', '363', 'INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream', 'E7', 'writeBlock', '<*>', 'received', 'exception', '<*>']]
['45082', ['081109', '204142', '382', 'INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream', 'E7', 'writeBlock', '<*>', 'received', 'exception', '<*>']]
['45361', ['081109', '204145', '390', 'INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream', 'E7', 'writeBlock', '<*>', 'received', 'exception', '<*>']]
