['72694', ['081109', '204524', '19', 'INFO', 'dfs.FSDataset', 'Deleting', 'block', 'file', '/mnt/hadoop/dfs/data/current/subdir39/', 'E21', 'Deleting', 'block', '<*>', 'file', '<*>']]
['77701', ['081109', '204600', '19', 'INFO', 'dfs.FSDataset', 'Deleting', 'block', 'file', '/mnt/hadoop/dfs/data/current/subdir12/', 'E21', 'Deleting', 'block', '<*>', 'file', '<*>']]
['78181', ['081109', '204603', '19', 'INFO', 'dfs.FSDataset', 'Deleting', 'block', 'file', '/mnt/hadoop/dfs/data/current/subdir43/', 'E21', 'Deleting', 'block', '<*>', 'file', '<*>']]
['78332', ['081109', '204604', '19', 'INFO', 'dfs.FSDataset', 'Deleting', 'block', 'file', '/mnt/hadoop/dfs/data/current/subdir30/', 'E21', 'Deleting', 'block', '<*>', 'file', '<*>']]
['80929', ['081109', '204623', '19', 'INFO', 'dfs.FSDataset', 'Deleting', 'block', 'file', '/mnt/hadoop/dfs/data/current/subdir8/', 'E21', 'Deleting', 'block', '<*>', 'file', '<*>']]
['81104', ['081109', '204624', '19', 'INFO', 'dfs.FSDataset', 'Deleting', 'block', 'file', '/mnt/hadoop/dfs/data/current/subdir56/', 'E21', 'Deleting', 'block', '<*>', 'file', '<*>']]
['81404', ['081109', '204626', '19', 'INFO', 'dfs.FSDataset', 'Deleting', 'block', 'file', '/mnt/hadoop/dfs/data/current/subdir39/', 'E21', 'Deleting', 'block', '<*>', 'file', '<*>']]
['81405', ['081109', '204626', '19', 'INFO', 'dfs.FSDataset', 'Deleting', 'block', 'file', '/mnt/hadoop/dfs/data/current/subdir49/', 'E21', 'Deleting', 'block', '<*>', 'file', '<*>']]
['82280', ['081109', '204631', '19', 'INFO', 'dfs.FSDataset', 'Deleting', 'block', 'file', '/mnt/hadoop/dfs/data/current/subdir31/', 'E21', 'Deleting', 'block', '<*>', 'file', '<*>']]
['82281', ['081109', '204631', '19', 'INFO', 'dfs.FSDataset', 'Deleting', 'block', 'file', '/mnt/hadoop/dfs/data/current/subdir22/', 'E21', 'Deleting', 'block', '<*>', 'file', '<*>']]
['84515', ['081109', '204645', '18', 'INFO', 'dfs.FSDataset', 'Deleting', 'block', 'file', '/mnt/hadoop/dfs/data/current/subdir49/', 'E21', 'Deleting', 'block', '<*>', 'file', '<*>']]
['85570', ['081109', '204652', '19', 'INFO', 'dfs.FSDataset', 'Deleting', 'block', 'file', '/mnt/hadoop/dfs/data/current/subdir1/', 'E21', 'Deleting', 'block', '<*>', 'file', '<*>']]
['85571', ['081109', '204652', '19', 'INFO', 'dfs.FSDataset', 'Deleting', 'block', 'file', '/mnt/hadoop/dfs/data/current/subdir44/', 'E21', 'Deleting', 'block', '<*>', 'file', '<*>']]
['86457', ['081109', '204658', '19', 'INFO', 'dfs.FSDataset', 'Deleting', 'block', 'file', '/mnt/hadoop/dfs/data/current/subdir63/', 'E21', 'Deleting', 'block', '<*>', 'file', '<*>']]
['87567', ['081109', '204704', '18', 'INFO', 'dfs.FSDataset', 'Deleting', 'block', 'file', '/mnt/hadoop/dfs/data/current/subdir8/', 'E21', 'Deleting', 'block', '<*>', 'file', '<*>']]
['87568', ['081109', '204704', '19', 'INFO', 'dfs.FSDataset', 'Deleting', 'block', 'file', '/mnt/hadoop/dfs/data/current/subdir7/', 'E21', 'Deleting', 'block', '<*>', 'file', '<*>']]
['87711', ['081109', '204705', '19', 'INFO', 'dfs.FSDataset', 'Deleting', 'block', 'file', '/mnt/hadoop/dfs/data/current/subdir0/', 'E21', 'Deleting', 'block', '<*>', 'file', '<*>']]
['88540', ['081109', '204712', '19', 'INFO', 'dfs.FSDataset', 'Deleting', 'block', 'file', '/mnt/hadoop/dfs/data/current/subdir41/', 'E21', 'Deleting', 'block', '<*>', 'file', '<*>']]
['92696', ['081109', '204740', '19', 'INFO', 'dfs.FSDataset', 'Deleting', 'block', 'file', '/mnt/hadoop/dfs/data/current/subdir49/', 'E21', 'Deleting', 'block', '<*>', 'file', '<*>']]
['92818', ['081109', '204741', '19', 'INFO', 'dfs.FSDataset', 'Deleting', 'block', 'file', '/mnt/hadoop/dfs/data/current/subdir6/', 'E21', 'Deleting', 'block', '<*>', 'file', '<*>']]
['95657', ['081109', '204803', '19', 'INFO', 'dfs.FSDataset', 'Deleting', 'block', 'file', '/mnt/hadoop/dfs/data/current/subdir0/', 'E21', 'Deleting', 'block', '<*>', 'file', '<*>']]
['98368', ['081109', '204822', '19', 'INFO', 'dfs.FSDataset', 'Deleting', 'block', 'file', '/mnt/hadoop/dfs/data/current/subdir7/', 'E21', 'Deleting', 'block', '<*>', 'file', '<*>']]
['100229', ['081109', '204839', '19', 'INFO', 'dfs.FSDataset', 'Deleting', 'block', 'file', '/mnt/hadoop/dfs/data/current/subdir55/', 'E21', 'Deleting', 'block', '<*>', 'file', '<*>']]
