['73506', ['081109', '204530', '526', 'INFO', 'dfs.DataNode$BlockReceiver', 'Receiving', 'empty', 'packet', 'for', 'block', 'E13', 'Receiving', 'empty', 'packet', 'for', 'block', '<*>']]
['73520', ['081109', '204530', '536', 'INFO', 'dfs.DataNode$BlockReceiver', 'Receiving', 'empty', 'packet', 'for', 'block', 'E13', 'Receiving', 'empty', 'packet', 'for', 'block', '<*>']]
['73527', ['081109', '204530', '543', 'INFO', 'dfs.DataNode$BlockReceiver', 'Receiving', 'empty', 'packet', 'for', 'block', 'E13', 'Receiving', 'empty', 'packet', 'for', 'block', '<*>']]
['76621', ['081109', '204553', '525', 'INFO', 'dfs.DataNode$BlockReceiver', 'Receiving', 'empty', 'packet', 'for', 'block', 'E13', 'Receiving', 'empty', 'packet', 'for', 'block', '<*>']]
['76637', ['081109', '204553', '532', 'INFO', 'dfs.DataNode$BlockReceiver', 'Receiving', 'empty', 'packet', 'for', 'block', 'E13', 'Receiving', 'empty', 'packet', 'for', 'block', '<*>']]
['76668', ['081109', '204553', '552', 'INFO', 'dfs.DataNode$BlockReceiver', 'Receiving', 'empty', 'packet', 'for', 'block', 'E13', 'Receiving', 'empty', 'packet', 'for', 'block', '<*>']]
['78263', ['081109', '204603', '529', 'INFO', 'dfs.DataNode$BlockReceiver', 'Receiving', 'empty', 'packet', 'for', 'block', 'E13', 'Receiving', 'empty', 'packet', 'for', 'block', '<*>']]
['78271', ['081109', '204603', '535', 'INFO', 'dfs.DataNode$BlockReceiver', 'Receiving', 'empty', 'packet', 'for', 'block', 'E13', 'Receiving', 'empty', 'packet', 'for', 'block', '<*>']]
['78317', ['081109', '204603', '564', 'INFO', 'dfs.DataNode$BlockReceiver', 'Receiving', 'empty', 'packet', 'for', 'block', 'E13', 'Receiving', 'empty', 'packet', 'for', 'block', '<*>']]
['84736', ['081109', '204646', '570', 'INFO', 'dfs.DataNode$BlockReceiver', 'Receiving', 'empty', 'packet', 'for', 'block', 'E13', 'Receiving', 'empty', 'packet', 'for', 'block', '<*>']]
['84778', ['081109', '204646', '602', 'INFO', 'dfs.DataNode$BlockReceiver', 'Receiving', 'empty', 'packet', 'for', 'block', 'E13', 'Receiving', 'empty', 'packet', 'for', 'block', '<*>']]
['84888', ['081109', '204647', '582', 'INFO', 'dfs.DataNode$BlockReceiver', 'Receiving', 'empty', 'packet', 'for', 'block', 'E13', 'Receiving', 'empty', 'packet', 'for', 'block', '<*>']]
['88076', ['081109', '204708', '567', 'INFO', 'dfs.DataNode$BlockReceiver', 'Receiving', 'empty', 'packet', 'for', 'block', 'E13', 'Receiving', 'empty', 'packet', 'for', 'block', '<*>']]
['88277', ['081109', '204709', '593', 'INFO', 'dfs.DataNode$BlockReceiver', 'Receiving', 'empty', 'packet', 'for', 'block', 'E13', 'Receiving', 'empty', 'packet', 'for', 'block', '<*>']]
['88297', ['081109', '204709', '603', 'INFO', 'dfs.DataNode$BlockReceiver', 'Receiving', 'empty', 'packet', 'for', 'block', 'E13', 'Receiving', 'empty', 'packet', 'for', 'block', '<*>']]
['89255', ['081109', '204718', '597', 'INFO', 'dfs.DataNode$BlockReceiver', 'Receiving', 'empty', 'packet', 'for', 'block', 'E13', 'Receiving', 'empty', 'packet', 'for', 'block', '<*>']]
['89281', ['081109', '204718', '611', 'INFO', 'dfs.DataNode$BlockReceiver', 'Receiving', 'empty', 'packet', 'for', 'block', 'E13', 'Receiving', 'empty', 'packet', 'for', 'block', '<*>']]
['89430', ['081109', '204719', '623', 'INFO', 'dfs.DataNode$BlockReceiver', 'Receiving', 'empty', 'packet', 'for', 'block', 'E13', 'Receiving', 'empty', 'packet', 'for', 'block', '<*>']]
['90446', ['081109', '204726', '577', 'INFO', 'dfs.DataNode$BlockReceiver', 'Receiving', 'empty', 'packet', 'for', 'block', 'E13', 'Receiving', 'empty', 'packet', 'for', 'block', '<*>']]
['90493', ['081109', '204726', '600', 'INFO', 'dfs.DataNode$BlockReceiver', 'Receiving', 'empty', 'packet', 'for', 'block', 'E13', 'Receiving', 'empty', 'packet', 'for', 'block', '<*>']]
['90498', ['081109', '204726', '603', 'INFO', 'dfs.DataNode$BlockReceiver', 'Receiving', 'empty', 'packet', 'for', 'block', 'E13', 'Receiving', 'empty', 'packet', 'for', 'block', '<*>']]
['94921', ['081109', '204757', '608', 'INFO', 'dfs.DataNode$BlockReceiver', 'Receiving', 'empty', 'packet', 'for', 'block', 'E13', 'Receiving', 'empty', 'packet', 'for', 'block', '<*>']]
['94961', ['081109', '204757', '634', 'INFO', 'dfs.DataNode$BlockReceiver', 'Receiving', 'empty', 'packet', 'for', 'block', 'E13', 'Receiving', 'empty', 'packet', 'for', 'block', '<*>']]
['94968', ['081109', '204757', '642', 'INFO', 'dfs.DataNode$BlockReceiver', 'Receiving', 'empty', 'packet', 'for', 'block', 'E13', 'Receiving', 'empty', 'packet', 'for', 'block', '<*>']]
