['2', ['081109', '203518', '35', 'INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.allocateBlock:', '/mnt/hadoop/mapred/system/job_200811092030_0001/job.jar.', 'E22', 'BLOCK*', 'NameSystem.allocateBlock:<*>']]
['16', ['081109', '203520', '26', 'INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.allocateBlock:', '/mnt/hadoop/mapred/system/job_200811092030_0001/job.split.', 'E22', 'BLOCK*', 'NameSystem.allocateBlock:<*>']]
['33', ['081109', '203521', '29', 'INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.allocateBlock:', '/mnt/hadoop/mapred/system/job_200811092030_0001/job.xml.', 'E22', 'BLOCK*', 'NameSystem.allocateBlock:<*>']]
['49', ['081109', '203523', '28', 'INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.allocateBlock:', '/user/root/rand/_logs/history/ip-10-250-19-102.ec2.internal_1226291400491_job_200811092030_0001_conf.xml.', 'E22', 'BLOCK*', 'NameSystem.allocateBlock:<*>']]
['201', ['081109', '203529', '29', 'INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.allocateBlock:', '/user/root/rand/_temporary/_task_200811092030_0001_m_000079_0/part-00079.', 'E22', 'BLOCK*', 'NameSystem.allocateBlock:<*>']]
['272', ['081109', '203530', '26', 'INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.allocateBlock:', '/user/root/rand/_temporary/_task_200811092030_0001_m_000111_0/part-00111.', 'E22', 'BLOCK*', 'NameSystem.allocateBlock:<*>']]
['273', ['081109', '203530', '27', 'INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.allocateBlock:', '/user/root/rand/_temporary/_task_200811092030_0001_m_000081_0/part-00081.', 'E22', 'BLOCK*', 'NameSystem.allocateBlock:<*>']]
['274', ['081109', '203530', '27', 'INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.allocateBlock:', '/user/root/rand/_temporary/_task_200811092030_0001_m_000121_0/part-00121.', 'E22', 'BLOCK*', 'NameSystem.allocateBlock:<*>']]
['275', ['081109', '203530', '28', 'INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.allocateBlock:', '/user/root/rand/_temporary/_task_200811092030_0001_m_000007_0/part-00007.', 'E22', 'BLOCK*', 'NameSystem.allocateBlock:<*>']]
['276', ['081109', '203530', '28', 'INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.allocateBlock:', '/user/root/rand/_temporary/_task_200811092030_0001_m_000098_0/part-00098.', 'E22', 'BLOCK*', 'NameSystem.allocateBlock:<*>']]
['277', ['081109', '203530', '31', 'INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.allocateBlock:', '/user/root/rand/_temporary/_task_200811092030_0001_m_000010_0/part-00010.', 'E22', 'BLOCK*', 'NameSystem.allocateBlock:<*>']]
['278', ['081109', '203530', '34', 'INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.allocateBlock:', '/user/root/rand/_temporary/_task_200811092030_0001_m_000084_0/part-00084.', 'E22', 'BLOCK*', 'NameSystem.allocateBlock:<*>']]
['279', ['081109', '203530', '34', 'INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.allocateBlock:', '/user/root/rand/_temporary/_task_200811092030_0001_m_000086_0/part-00086.', 'E22', 'BLOCK*', 'NameSystem.allocateBlock:<*>']]
['280', ['081109', '203530', '35', 'INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.allocateBlock:', '/user/root/rand/_temporary/_task_200811092030_0001_m_000002_0/part-00002.', 'E22', 'BLOCK*', 'NameSystem.allocateBlock:<*>']]
['281', ['081109', '203530', '35', 'INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.allocateBlock:', '/user/root/rand/_temporary/_task_200811092030_0001_m_000042_0/part-00042.', 'E22', 'BLOCK*', 'NameSystem.allocateBlock:<*>']]
['394', ['081109', '203531', '26', 'INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.allocateBlock:', '/user/root/rand/_temporary/_task_200811092030_0001_m_000026_0/part-00026.', 'E22', 'BLOCK*', 'NameSystem.allocateBlock:<*>']]
['395', ['081109', '203531', '26', 'INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.allocateBlock:', '/user/root/rand/_temporary/_task_200811092030_0001_m_000112_0/part-00112.', 'E22', 'BLOCK*', 'NameSystem.allocateBlock:<*>']]
['396', ['081109', '203531', '27', 'INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.allocateBlock:', '/user/root/rand/_temporary/_task_200811092030_0001_m_000009_0/part-00009.', 'E22', 'BLOCK*', 'NameSystem.allocateBlock:<*>']]
['397', ['081109', '203531', '27', 'INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.allocateBlock:', '/user/root/rand/_temporary/_task_200811092030_0001_m_000141_0/part-00141.', 'E22', 'BLOCK*', 'NameSystem.allocateBlock:<*>']]
['398', ['081109', '203531', '28', 'INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.allocateBlock:', '/user/root/rand/_temporary/_task_200811092030_0001_m_000124_0/part-00124.', 'E22', 'BLOCK*', 'NameSystem.allocateBlock:<*>']]
['399', ['081109', '203531', '28', 'INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.allocateBlock:', '/user/root/rand/_temporary/_task_200811092030_0001_m_000131_0/part-00131.', 'E22', 'BLOCK*', 'NameSystem.allocateBlock:<*>']]
['400', ['081109', '203531', '29', 'INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.allocateBlock:', '/user/root/rand/_temporary/_task_200811092030_0001_m_000048_0/part-00048.', 'E22', 'BLOCK*', 'NameSystem.allocateBlock:<*>']]
['401', ['081109', '203531', '29', 'INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.allocateBlock:', '/user/root/rand/_temporary/_task_200811092030_0001_m_000119_0/part-00119.', 'E22', 'BLOCK*', 'NameSystem.allocateBlock:<*>']]
['402', ['081109', '203531', '30', 'INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.allocateBlock:', '/user/root/rand/_temporary/_task_200811092030_0001_m_000024_0/part-00024.', 'E22', 'BLOCK*', 'NameSystem.allocateBlock:<*>']]
['403', ['081109', '203531', '30', 'INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.allocateBlock:', '/user/root/rand/_temporary/_task_200811092030_0001_m_000058_0/part-00058.', 'E22', 'BLOCK*', 'NameSystem.allocateBlock:<*>']]
['404', ['081109', '203531', '30', 'INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.allocateBlock:', '/user/root/rand/_temporary/_task_200811092030_0001_m_000060_0/part-00060.', 'E22', 'BLOCK*', 'NameSystem.allocateBlock:<*>']]
['405', ['081109', '203531', '30', 'INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.allocateBlock:', '/user/root/rand/_temporary/_task_200811092030_0001_m_000122_0/part-00122.', 'E22', 'BLOCK*', 'NameSystem.allocateBlock:<*>']]
['406', ['081109', '203531', '31', 'INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.allocateBlock:', '/user/root/rand/_temporary/_task_200811092030_0001_m_000005_0/part-00005.', 'E22', 'BLOCK*', 'NameSystem.allocateBlock:<*>']]
['407', ['081109', '203531', '31', 'INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.allocateBlock:', '/user/root/rand/_temporary/_task_200811092030_0001_m_000021_0/part-00021.', 'E22', 'BLOCK*', 'NameSystem.allocateBlock:<*>']]
['408', ['081109', '203531', '31', 'INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.allocateBlock:', '/user/root/rand/_temporary/_task_200811092030_0001_m_000022_0/part-00022.', 'E22', 'BLOCK*', 'NameSystem.allocateBlock:<*>']]
['409', ['081109', '203531', '31', 'INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.allocateBlock:', '/user/root/rand/_temporary/_task_200811092030_0001_m_000031_0/part-00031.', 'E22', 'BLOCK*', 'NameSystem.allocateBlock:<*>']]
['410', ['081109', '203531', '31', 'INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.allocateBlock:', '/user/root/rand/_temporary/_task_200811092030_0001_m_000120_0/part-00120.', 'E22', 'BLOCK*', 'NameSystem.allocateBlock:<*>']]
['411', ['081109', '203531', '31', 'INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.allocateBlock:', '/user/root/rand/_temporary/_task_200811092030_0001_m_000127_0/part-00127.', 'E22', 'BLOCK*', 'NameSystem.allocateBlock:<*>']]
['412', ['081109', '203531', '31', 'INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.allocateBlock:', '/user/root/rand/_temporary/_task_200811092030_0001_m_000143_0/part-00143.', 'E22', 'BLOCK*', 'NameSystem.allocateBlock:<*>']]
['413', ['081109', '203531', '32', 'INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.allocateBlock:', '/user/root/rand/_temporary/_task_200811092030_0001_m_000006_0/part-00006.', 'E22', 'BLOCK*', 'NameSystem.allocateBlock:<*>']]
['414', ['081109', '203531', '32', 'INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.allocateBlock:', '/user/root/rand/_temporary/_task_200811092030_0001_m_000123_0/part-00123.', 'E22', 'BLOCK*', 'NameSystem.allocateBlock:<*>']]
['415', ['081109', '203531', '33', 'INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.allocateBlock:', '/user/root/rand/_temporary/_task_200811092030_0001_m_000011_0/part-00011.', 'E22', 'BLOCK*', 'NameSystem.allocateBlock:<*>']]
['416', ['081109', '203531', '33', 'INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.allocateBlock:', '/user/root/rand/_temporary/_task_200811092030_0001_m_000117_0/part-00117.', 'E22', 'BLOCK*', 'NameSystem.allocateBlock:<*>']]
['417', ['081109', '203531', '33', 'INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.allocateBlock:', '/user/root/rand/_temporary/_task_200811092030_0001_m_000118_0/part-00118.', 'E22', 'BLOCK*', 'NameSystem.allocateBlock:<*>']]
['418', ['081109', '203531', '33', 'INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.allocateBlock:', '/user/root/rand/_temporary/_task_200811092030_0001_m_000126_0/part-00126.', 'E22', 'BLOCK*', 'NameSystem.allocateBlock:<*>']]
['419', ['081109', '203531', '34', 'INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.allocateBlock:', '/user/root/rand/_temporary/_task_200811092030_0001_m_000015_0/part-00015.', 'E22', 'BLOCK*', 'NameSystem.allocateBlock:<*>']]
['420', ['081109', '203531', '35', 'INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.allocateBlock:', '/user/root/rand/_temporary/_task_200811092030_0001_m_000034_0/part-00034.', 'E22', 'BLOCK*', 'NameSystem.allocateBlock:<*>']]
['555', ['081109', '203532', '26', 'INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.allocateBlock:', '/user/root/rand/_temporary/_task_200811092030_0001_m_000054_0/part-00054.', 'E22', 'BLOCK*', 'NameSystem.allocateBlock:<*>']]
['556', ['081109', '203532', '26', 'INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.allocateBlock:', '/user/root/rand/_temporary/_task_200811092030_0001_m_000133_0/part-00133.', 'E22', 'BLOCK*', 'NameSystem.allocateBlock:<*>']]
['557', ['081109', '203532', '26', 'INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.allocateBlock:', '/user/root/rand/_temporary/_task_200811092030_0001_m_000218_0/part-00218.', 'E22', 'BLOCK*', 'NameSystem.allocateBlock:<*>']]
['558', ['081109', '203532', '27', 'INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.allocateBlock:', '/user/root/rand/_temporary/_task_200811092030_0001_m_000029_0/part-00029.', 'E22', 'BLOCK*', 'NameSystem.allocateBlock:<*>']]
['559', ['081109', '203532', '27', 'INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.allocateBlock:', '/user/root/rand/_temporary/_task_200811092030_0001_m_000061_0/part-00061.', 'E22', 'BLOCK*', 'NameSystem.allocateBlock:<*>']]
['560', ['081109', '203532', '27', 'INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.allocateBlock:', '/user/root/rand/_temporary/_task_200811092030_0001_m_000129_0/part-00129.', 'E22', 'BLOCK*', 'NameSystem.allocateBlock:<*>']]
['561', ['081109', '203532', '27', 'INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.allocateBlock:', '/user/root/rand/_temporary/_task_200811092030_0001_m_000138_0/part-00138.', 'E22', 'BLOCK*', 'NameSystem.allocateBlock:<*>']]
['562', ['081109', '203532', '27', 'INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.allocateBlock:', '/user/root/rand/_temporary/_task_200811092030_0001_m_000244_0/part-00244.', 'E22', 'BLOCK*', 'NameSystem.allocateBlock:<*>']]
['563', ['081109', '203532', '28', 'INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.allocateBlock:', '/user/root/rand/_temporary/_task_200811092030_0001_m_000014_0/part-00014.', 'E22', 'BLOCK*', 'NameSystem.allocateBlock:<*>']]
['564', ['081109', '203532', '28', 'INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.allocateBlock:', '/user/root/rand/_temporary/_task_200811092030_0001_m_000032_0/part-00032.', 'E22', 'BLOCK*', 'NameSystem.allocateBlock:<*>']]
['565', ['081109', '203532', '28', 'INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.allocateBlock:', '/user/root/rand/_temporary/_task_200811092030_0001_m_000040_0/part-00040.', 'E22', 'BLOCK*', 'NameSystem.allocateBlock:<*>']]
['566', ['081109', '203532', '28', 'INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.allocateBlock:', '/user/root/rand/_temporary/_task_200811092030_0001_m_000130_0/part-00130.', 'E22', 'BLOCK*', 'NameSystem.allocateBlock:<*>']]
['567', ['081109', '203532', '28', 'INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.allocateBlock:', '/user/root/rand/_temporary/_task_200811092030_0001_m_000216_0/part-00216.', 'E22', 'BLOCK*', 'NameSystem.allocateBlock:<*>']]
['568', ['081109', '203532', '28', 'INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.allocateBlock:', '/user/root/rand/_temporary/_task_200811092030_0001_m_000221_0/part-00221.', 'E22', 'BLOCK*', 'NameSystem.allocateBlock:<*>']]
['569', ['081109', '203532', '28', 'INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.allocateBlock:', '/user/root/rand/_temporary/_task_200811092030_0001_m_000223_0/part-00223.', 'E22', 'BLOCK*', 'NameSystem.allocateBlock:<*>']]
['570', ['081109', '203532', '28', 'INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.allocateBlock:', '/user/root/rand/_temporary/_task_200811092030_0001_m_000229_0/part-00229.', 'E22', 'BLOCK*', 'NameSystem.allocateBlock:<*>']]
