['25', ['081109', '203521', '147', 'INFO', 'dfs.DataNode$DataTransfer', 'Transmitted', 'block', 'to', 'E16', '<*>:Transmitted', 'block', '<*>', 'to', '/<*>']]
['73', ['081109', '203526', '152', 'INFO', 'dfs.DataNode$DataTransfer', 'Transmitted', 'block', 'to', 'E16', '<*>:Transmitted', 'block', '<*>', 'to', '/<*>']]
['80', ['081109', '203527', '148', 'INFO', 'dfs.DataNode$DataTransfer', 'Transmitted', 'block', 'to', 'E16', '<*>:Transmitted', 'block', '<*>', 'to', '/<*>']]
['526', ['081109', '203532', '161', 'INFO', 'dfs.DataNode$DataTransfer', 'Transmitted', 'block', 'to', 'E16', '<*>:Transmitted', 'block', '<*>', 'to', '/<*>']]
['72564', ['081109', '204522', '528', 'INFO', 'dfs.DataNode$DataTransfer', 'Transmitted', 'block', 'to', 'E16', '<*>:Transmitted', 'block', '<*>', 'to', '/<*>']]
['77425', ['081109', '204557', '537', 'INFO', 'dfs.DataNode$DataTransfer', 'Transmitted', 'block', 'to', 'E16', '<*>:Transmitted', 'block', '<*>', 'to', '/<*>']]
['77849', ['081109', '204600', '560', 'INFO', 'dfs.DataNode$DataTransfer', 'Transmitted', 'block', 'to', 'E16', '<*>:Transmitted', 'block', '<*>', 'to', '/<*>']]
['78148', ['081109', '204602', '549', 'INFO', 'dfs.DataNode$DataTransfer', 'Transmitted', 'block', 'to', 'E16', '<*>:Transmitted', 'block', '<*>', 'to', '/<*>']]
['80103', ['081109', '204618', '534', 'INFO', 'dfs.DataNode$DataTransfer', 'Transmitted', 'block', 'to', 'E16', '<*>:Transmitted', 'block', '<*>', 'to', '/<*>']]
['80691', ['081109', '204621', '544', 'INFO', 'dfs.DataNode$DataTransfer', 'Transmitted', 'block', 'to', 'E16', '<*>:Transmitted', 'block', '<*>', 'to', '/<*>']]
['80708', ['081109', '204621', '549', 'INFO', 'dfs.DataNode$DataTransfer', 'Transmitted', 'block', 'to', 'E16', '<*>:Transmitted', 'block', '<*>', 'to', '/<*>']]
['80768', ['081109', '204621', '573', 'INFO', 'dfs.DataNode$DataTransfer', 'Transmitted', 'block', 'to', 'E16', '<*>:Transmitted', 'block', '<*>', 'to', '/<*>']]
['81384', ['081109', '204625', '571', 'INFO', 'dfs.DataNode$DataTransfer', 'Transmitted', 'block', 'to', 'E16', '<*>:Transmitted', 'block', '<*>', 'to', '/<*>']]
['81665', ['081109', '204627', '552', 'INFO', 'dfs.DataNode$DataTransfer', 'Transmitted', 'block', 'to', 'E16', '<*>:Transmitted', 'block', '<*>', 'to', '/<*>']]
['84206', ['081109', '204642', '572', 'INFO', 'dfs.DataNode$DataTransfer', 'Transmitted', 'block', 'to', 'E16', '<*>:Transmitted', 'block', '<*>', 'to', '/<*>']]
['84387', ['081109', '204643', '588', 'INFO', 'dfs.DataNode$DataTransfer', 'Transmitted', 'block', 'to', 'E16', '<*>:Transmitted', 'block', '<*>', 'to', '/<*>']]
['85546', ['081109', '204651', '593', 'INFO', 'dfs.DataNode$DataTransfer', 'Transmitted', 'block', 'to', 'E16', '<*>:Transmitted', 'block', '<*>', 'to', '/<*>']]
['86322', ['081109', '204656', '585', 'INFO', 'dfs.DataNode$DataTransfer', 'Transmitted', 'block', 'to', 'E16', '<*>:Transmitted', 'block', '<*>', 'to', '/<*>']]
['86650', ['081109', '204658', '591', 'INFO', 'dfs.DataNode$DataTransfer', 'Transmitted', 'block', 'to', 'E16', '<*>:Transmitted', 'block', '<*>', 'to', '/<*>']]
['86984', ['081109', '204700', '570', 'INFO', 'dfs.DataNode$DataTransfer', 'Transmitted', 'block', 'to', 'E16', '<*>:Transmitted', 'block', '<*>', 'to', '/<*>']]
['88245', ['081109', '204709', '579', 'INFO', 'dfs.DataNode$DataTransfer', 'Transmitted', 'block', 'to', 'E16', '<*>:Transmitted', 'block', '<*>', 'to', '/<*>']]
['92215', ['081109', '204736', '617', 'INFO', 'dfs.DataNode$DataTransfer', 'Transmitted', 'block', 'to', 'E16', '<*>:Transmitted', 'block', '<*>', 'to', '/<*>']]
['92397', ['081109', '204737', '614', 'INFO', 'dfs.DataNode$DataTransfer', 'Transmitted', 'block', 'to', 'E16', '<*>:Transmitted', 'block', '<*>', 'to', '/<*>']]
['95500', ['081109', '204801', '624', 'INFO', 'dfs.DataNode$DataTransfer', 'Transmitted', 'block', 'to', 'E16', '<*>:Transmitted', 'block', '<*>', 'to', '/<*>']]
['97844', ['081109', '204818', '662', 'INFO', 'dfs.DataNode$DataTransfer', 'Transmitted', 'block', 'to', 'E16', '<*>:Transmitted', 'block', '<*>', 'to', '/<*>']]
['100102', ['081109', '204836', '711', 'INFO', 'dfs.DataNode$DataTransfer', 'Transmitted', 'block', 'to', 'E16', '<*>:Transmitted', 'block', '<*>', 'to', '/<*>']]
['104091', ['081109', '205300', '769', 'INFO', 'dfs.DataNode$DataTransfer', 'Transmitted', 'block', 'to', 'E16', '<*>:Transmitted', 'block', '<*>', 'to', '/<*>']]
