['31', ['081109', '203521', '19', 'INFO', 'dfs.FSNamesystem', 'BLOCK*', 'ask', 'to', 'replicate', 'to', 'datanode(s)', 'E25', 'BLOCK*', 'ask', '<*>', 'to', 'replicate', '<*>', 'to', 'datanode(s)', '<*>']]
['61', ['081109', '203524', '19', 'INFO', 'dfs.FSNamesystem', 'BLOCK*', 'ask', 'to', 'replicate', 'to', 'datanode(s)', 'E25', 'BLOCK*', 'ask', '<*>', 'to', 'replicate', '<*>', 'to', 'datanode(s)', '<*>']]
['118', ['081109', '203527', '19', 'INFO', 'dfs.FSNamesystem', 'BLOCK*', 'ask', 'to', 'replicate', 'to', 'datanode(s)', 'E25', 'BLOCK*', 'ask', '<*>', 'to', 'replicate', '<*>', 'to', 'datanode(s)', '<*>']]
['271', ['081109', '203530', '19', 'INFO', 'dfs.FSNamesystem', 'BLOCK*', 'ask', 'to', 'replicate', 'to', 'datanode(s)', 'E25', 'BLOCK*', 'ask', '<*>', 'to', 'replicate', '<*>', 'to', 'datanode(s)', '<*>']]
['72217', ['081109', '204520', '19', 'INFO', 'dfs.FSNamesystem', 'BLOCK*', 'ask', 'to', 'replicate', 'to', 'datanode(s)', 'E25', 'BLOCK*', 'ask', '<*>', 'to', 'replicate', '<*>', 'to', 'datanode(s)', '<*>']]
['77076', ['081109', '204556', '19', 'INFO', 'dfs.FSNamesystem', 'BLOCK*', 'ask', 'to', 'replicate', 'to', 'datanode(s)', 'E25', 'BLOCK*', 'ask', '<*>', 'to', 'replicate', '<*>', 'to', 'datanode(s)', '<*>']]
['77077', ['081109', '204556', '19', 'INFO', 'dfs.FSNamesystem', 'BLOCK*', 'ask', 'to', 'replicate', 'to', 'datanode(s)', 'E25', 'BLOCK*', 'ask', '<*>', 'to', 'replicate', '<*>', 'to', 'datanode(s)', '<*>']]
['77078', ['081109', '204556', '19', 'INFO', 'dfs.FSNamesystem', 'BLOCK*', 'ask', 'to', 'replicate', 'to', 'datanode(s)', 'E25', 'BLOCK*', 'ask', '<*>', 'to', 'replicate', '<*>', 'to', 'datanode(s)', '<*>']]
['79854', ['081109', '204617', '19', 'INFO', 'dfs.FSNamesystem', 'BLOCK*', 'ask', 'to', 'replicate', 'to', 'datanode(s)', 'E25', 'BLOCK*', 'ask', '<*>', 'to', 'replicate', '<*>', 'to', 'datanode(s)', '<*>']]
['79855', ['081109', '204617', '19', 'INFO', 'dfs.FSNamesystem', 'BLOCK*', 'ask', 'to', 'replicate', 'to', 'datanode(s)', 'E25', 'BLOCK*', 'ask', '<*>', 'to', 'replicate', '<*>', 'to', 'datanode(s)', '<*>']]
['79856', ['081109', '204617', '19', 'INFO', 'dfs.FSNamesystem', 'BLOCK*', 'ask', 'to', 'replicate', 'to', 'datanode(s)', 'E25', 'BLOCK*', 'ask', '<*>', 'to', 'replicate', '<*>', 'to', 'datanode(s)', '<*>']]
['80387', ['081109', '204620', '19', 'INFO', 'dfs.FSNamesystem', 'BLOCK*', 'ask', 'to', 'replicate', 'to', 'datanode(s)', 'E25', 'BLOCK*', 'ask', '<*>', 'to', 'replicate', '<*>', 'to', 'datanode(s)', '<*>']]
['80388', ['081109', '204620', '19', 'INFO', 'dfs.FSNamesystem', 'BLOCK*', 'ask', 'to', 'replicate', 'to', 'datanode(s)', 'E25', 'BLOCK*', 'ask', '<*>', 'to', 'replicate', '<*>', 'to', 'datanode(s)', '<*>']]
['81406', ['081109', '204626', '19', 'INFO', 'dfs.FSNamesystem', 'BLOCK*', 'ask', 'to', 'replicate', 'to', 'datanode(s)', 'E25', 'BLOCK*', 'ask', '<*>', 'to', 'replicate', '<*>', 'to', 'datanode(s)', '<*>']]
['83326', ['081109', '204638', '19', 'INFO', 'dfs.FSNamesystem', 'BLOCK*', 'ask', 'to', 'replicate', 'to', 'datanode(s)', 'E25', 'BLOCK*', 'ask', '<*>', 'to', 'replicate', '<*>', 'to', 'datanode(s)', '<*>']]
['83327', ['081109', '204638', '19', 'INFO', 'dfs.FSNamesystem', 'BLOCK*', 'ask', 'to', 'replicate', 'to', 'datanode(s)', 'E25', 'BLOCK*', 'ask', '<*>', 'to', 'replicate', '<*>', 'to', 'datanode(s)', '<*>']]
['83902', ['081109', '204641', '19', 'INFO', 'dfs.FSNamesystem', 'BLOCK*', 'ask', 'to', 'replicate', 'to', 'datanode(s)', 'E25', 'BLOCK*', 'ask', '<*>', 'to', 'replicate', '<*>', 'to', 'datanode(s)', '<*>']]
['84785', ['081109', '204647', '19', 'INFO', 'dfs.FSNamesystem', 'BLOCK*', 'ask', 'to', 'replicate', 'to', 'datanode(s)', 'E25', 'BLOCK*', 'ask', '<*>', 'to', 'replicate', '<*>', 'to', 'datanode(s)', '<*>']]
