[0, ['INFO', 'dfs.DataNode$DataXceiver', 'Receiving', 'block', 'src:', 'dest:'], 'E5']
[2, ['INFO', 'dfs.DataNode$DataXceiver', 'Receiving', 'block', 'src:', 'dest:'], 'E5']
[3, ['INFO', 'dfs.DataNode$DataXceiver', 'Receiving', 'block', 'src:', 'dest:'], 'E5']
[13, ['INFO', 'dfs.DataNode$DataXceiver', 'Receiving', 'block', 'src:', 'dest:'], 'E5']
[14, ['INFO', 'dfs.DataNode$DataXceiver', 'Receiving', 'block', 'src:', 'dest:'], 'E5']
[17, ['INFO', 'dfs.DataNode$DataXceiver', 'Receiving', 'block', 'src:', 'dest:'], 'E5']
[18, ['INFO', 'dfs.DataNode$DataXceiver', 'Receiving', 'block', 'src:', 'dest:'], 'E5']
[19, ['INFO', 'dfs.DataNode$DataXceiver', 'Receiving', 'block', 'src:', 'dest:'], 'E5']
[26, ['INFO', 'dfs.DataNode$DataXceiver', 'Receiving', 'block', 'src:', 'dest:'], 'E5']
[37, ['INFO', 'dfs.DataNode$DataXceiver', 'Receiving', 'block', 'src:', 'dest:'], 'E5']
[38, ['INFO', 'dfs.DataNode$DataXceiver', 'Receiving', 'block', 'src:', 'dest:'], 'E5']
[41, ['INFO', 'dfs.DataNode$DataXceiver', 'Receiving', 'block', 'src:', 'dest:'], 'E5']
[52, ['INFO', 'dfs.DataNode$DataXceiver', 'Receiving', 'block', 'src:', 'dest:'], 'E5']
[53, ['INFO', 'dfs.DataNode$DataXceiver', 'Receiving', 'block', 'src:', 'dest:'], 'E5']
[67, ['INFO', 'dfs.DataNode$DataXceiver', 'Receiving', 'block', 'src:', 'dest:'], 'E5']
[68, ['INFO', 'dfs.DataNode$DataXceiver', 'Receiving', 'block', 'src:', 'dest:'], 'E5']
[76, ['INFO', 'dfs.DataNode$DataXceiver', 'Receiving', 'block', 'src:', 'dest:'], 'E5']
[78, ['INFO', 'dfs.DataNode$DataXceiver', 'Receiving', 'block', 'src:', 'dest:'], 'E5']
[158, ['INFO', 'dfs.DataNode$DataXceiver', 'Receiving', 'block', 'src:', 'dest:'], 'E5']
[176, ['INFO', 'dfs.DataNode$DataXceiver', 'Receiving', 'block', 'src:', 'dest:'], 'E5']
[201, ['INFO', 'dfs.DataNode$DataXceiver', 'Receiving', 'block', 'src:', 'dest:'], 'E5']
[202, ['INFO', 'dfs.DataNode$DataXceiver', 'Receiving', 'block', 'src:', 'dest:'], 'E5']
