[46, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[47, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[64, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[69, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[70, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[71, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[80, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[81, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[82, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[83, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[84, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[85, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[86, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[87, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[88, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[89, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[90, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[91, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[92, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[93, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[94, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[95, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[96, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[97, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[98, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[99, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[100, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[101, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[102, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[103, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[104, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[105, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[106, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[107, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[108, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[109, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[110, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[111, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[112, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[113, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[114, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[115, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[119, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[120, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[121, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[122, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[123, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[124, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[125, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[126, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[127, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[128, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[129, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[130, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[131, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[132, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[133, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[134, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[135, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[136, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[137, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[138, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[139, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[140, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[141, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[142, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[143, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[144, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[145, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[146, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[147, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[148, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[149, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[150, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[151, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[152, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[153, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[154, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
[155, ['INFO', 'dfs.DataNode$DataXceiver', 'Served', 'block', 'to'], 'E3']
