[6335, ['INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.net.SocketTimeoutException'], 'E7']
[28754, ['INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream'], 'E7']
[30814, ['INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream'], 'E7']
[32521, ['INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream'], 'E7']
[34076, ['INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream'], 'E7']
[36148, ['INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream'], 'E7']
[37530, ['INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream'], 'E7']
[38941, ['INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream'], 'E7']
[41738, ['INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream'], 'E7']
[43081, ['INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream'], 'E7']
[45081, ['INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream'], 'E7']
[45360, ['INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream'], 'E7']
[45855, ['INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream'], 'E7']
[46161, ['INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream'], 'E7']
[46917, ['INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream'], 'E7']
[46962, ['INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream'], 'E7']
[48189, ['INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream'], 'E7']
[49279, ['INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream'], 'E7']
[49858, ['INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream'], 'E7']
[49994, ['INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream'], 'E7']
[51088, ['INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream'], 'E7']
[51485, ['INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream'], 'E7']
[51847, ['INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream'], 'E7']
[53622, ['INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream'], 'E7']
[56703, ['INFO', 'dfs.DataNode$DataXceiver', 'writeBlock', 'received', 'exception', 'java.io.IOException:', 'Could', 'not', 'read', 'from', 'stream'], 'E7']
