[72693, ['INFO', 'dfs.FSDataset', 'Deleting', 'block', 'file', '/mnt/hadoop/dfs/data/current/subdir39/'], 'E21']
[77700, ['INFO', 'dfs.FSDataset', 'Deleting', 'block', 'file', '/mnt/hadoop/dfs/data/current/subdir12/'], 'E21']
[78180, ['INFO', 'dfs.FSDataset', 'Deleting', 'block', 'file', '/mnt/hadoop/dfs/data/current/subdir43/'], 'E21']
[78331, ['INFO', 'dfs.FSDataset', 'Deleting', 'block', 'file', '/mnt/hadoop/dfs/data/current/subdir30/'], 'E21']
[80928, ['INFO', 'dfs.FSDataset', 'Deleting', 'block', 'file', '/mnt/hadoop/dfs/data/current/subdir8/'], 'E21']
[81103, ['INFO', 'dfs.FSDataset', 'Deleting', 'block', 'file', '/mnt/hadoop/dfs/data/current/subdir56/'], 'E21']
[81403, ['INFO', 'dfs.FSDataset', 'Deleting', 'block', 'file', '/mnt/hadoop/dfs/data/current/subdir39/'], 'E21']
[81404, ['INFO', 'dfs.FSDataset', 'Deleting', 'block', 'file', '/mnt/hadoop/dfs/data/current/subdir49/'], 'E21']
[82279, ['INFO', 'dfs.FSDataset', 'Deleting', 'block', 'file', '/mnt/hadoop/dfs/data/current/subdir31/'], 'E21']
[82280, ['INFO', 'dfs.FSDataset', 'Deleting', 'block', 'file', '/mnt/hadoop/dfs/data/current/subdir22/'], 'E21']
[84514, ['INFO', 'dfs.FSDataset', 'Deleting', 'block', 'file', '/mnt/hadoop/dfs/data/current/subdir49/'], 'E21']
[85569, ['INFO', 'dfs.FSDataset', 'Deleting', 'block', 'file', '/mnt/hadoop/dfs/data/current/subdir1/'], 'E21']
[85570, ['INFO', 'dfs.FSDataset', 'Deleting', 'block', 'file', '/mnt/hadoop/dfs/data/current/subdir44/'], 'E21']
[86456, ['INFO', 'dfs.FSDataset', 'Deleting', 'block', 'file', '/mnt/hadoop/dfs/data/current/subdir63/'], 'E21']
[87566, ['INFO', 'dfs.FSDataset', 'Deleting', 'block', 'file', '/mnt/hadoop/dfs/data/current/subdir8/'], 'E21']
[87567, ['INFO', 'dfs.FSDataset', 'Deleting', 'block', 'file', '/mnt/hadoop/dfs/data/current/subdir7/'], 'E21']
[87710, ['INFO', 'dfs.FSDataset', 'Deleting', 'block', 'file', '/mnt/hadoop/dfs/data/current/subdir0/'], 'E21']
[88539, ['INFO', 'dfs.FSDataset', 'Deleting', 'block', 'file', '/mnt/hadoop/dfs/data/current/subdir41/'], 'E21']
[92695, ['INFO', 'dfs.FSDataset', 'Deleting', 'block', 'file', '/mnt/hadoop/dfs/data/current/subdir49/'], 'E21']
[92817, ['INFO', 'dfs.FSDataset', 'Deleting', 'block', 'file', '/mnt/hadoop/dfs/data/current/subdir6/'], 'E21']
[95656, ['INFO', 'dfs.FSDataset', 'Deleting', 'block', 'file', '/mnt/hadoop/dfs/data/current/subdir0/'], 'E21']
[98367, ['INFO', 'dfs.FSDataset', 'Deleting', 'block', 'file', '/mnt/hadoop/dfs/data/current/subdir7/'], 'E21']
[100228, ['INFO', 'dfs.FSDataset', 'Deleting', 'block', 'file', '/mnt/hadoop/dfs/data/current/subdir55/'], 'E21']
