[4, ['INFO', 'dfs.DataNode$PacketResponder', 'PacketResponder', '1', 'for', 'block', 'terminating'], 'E11']
[5, ['INFO', 'dfs.DataNode$PacketResponder', 'PacketResponder', '2', 'for', 'block', 'terminating'], 'E11']
[8, ['INFO', 'dfs.DataNode$PacketResponder', 'PacketResponder', '0', 'for', 'block', 'terminating'], 'E11']
[20, ['INFO', 'dfs.DataNode$PacketResponder', 'PacketResponder', '1', 'for', 'block', 'terminating'], 'E11']
[22, ['INFO', 'dfs.DataNode$PacketResponder', 'PacketResponder', '0', 'for', 'block', 'terminating'], 'E11']
[27, ['INFO', 'dfs.DataNode$PacketResponder', 'PacketResponder', '2', 'for', 'block', 'terminating'], 'E11']
[39, ['INFO', 'dfs.DataNode$PacketResponder', 'PacketResponder', '2', 'for', 'block', 'terminating'], 'E11']
[42, ['INFO', 'dfs.DataNode$PacketResponder', 'PacketResponder', '1', 'for', 'block', 'terminating'], 'E11']
[44, ['INFO', 'dfs.DataNode$PacketResponder', 'PacketResponder', '0', 'for', 'block', 'terminating'], 'E11']
[54, ['INFO', 'dfs.DataNode$PacketResponder', 'PacketResponder', '2', 'for', 'block', 'terminating'], 'E11']
[56, ['INFO', 'dfs.DataNode$PacketResponder', 'PacketResponder', '0', 'for', 'block', 'terminating'], 'E11']
[58, ['INFO', 'dfs.DataNode$PacketResponder', 'PacketResponder', '1', 'for', 'block', 'terminating'], 'E11']
[2067, ['INFO', 'dfs.DataNode$PacketResponder', 'PacketResponder', '0', 'for', 'block', 'terminating'], 'E11']
[2069, ['INFO', 'dfs.DataNode$PacketResponder', 'PacketResponder', '1', 'for', 'block', 'terminating'], 'E11']
[2072, ['INFO', 'dfs.DataNode$PacketResponder', 'PacketResponder', '2', 'for', 'block', 'terminating'], 'E11']
[2093, ['INFO', 'dfs.DataNode$PacketResponder', 'PacketResponder', '2', 'for', 'block', 'terminating'], 'E11']
[2095, ['INFO', 'dfs.DataNode$PacketResponder', 'PacketResponder', '0', 'for', 'block', 'terminating'], 'E11']
[2106, ['INFO', 'dfs.DataNode$PacketResponder', 'PacketResponder', '1', 'for', 'block', 'terminating'], 'E11']
[2114, ['INFO', 'dfs.DataNode$PacketResponder', 'PacketResponder', '0', 'for', 'block', 'terminating'], 'E11']
[2116, ['INFO', 'dfs.DataNode$PacketResponder', 'PacketResponder', '1', 'for', 'block', 'terminating'], 'E11']
[2118, ['INFO', 'dfs.DataNode$PacketResponder', 'PacketResponder', '2', 'for', 'block', 'terminating'], 'E11']
[2120, ['INFO', 'dfs.DataNode$PacketResponder', 'PacketResponder', '2', 'for', 'block', 'terminating'], 'E11']
[2122, ['INFO', 'dfs.DataNode$PacketResponder', 'PacketResponder', '0', 'for', 'block', 'terminating'], 'E11']
[2124, ['INFO', 'dfs.DataNode$PacketResponder', 'PacketResponder', '1', 'for', 'block', 'terminating'], 'E11']
[2135, ['INFO', 'dfs.DataNode$PacketResponder', 'PacketResponder', '0', 'for', 'block', 'terminating'], 'E11']
[2137, ['INFO', 'dfs.DataNode$PacketResponder', 'PacketResponder', '1', 'for', 'block', 'terminating'], 'E11']
[2139, ['INFO', 'dfs.DataNode$PacketResponder', 'PacketResponder', '2', 'for', 'block', 'terminating'], 'E11']
[2155, ['INFO', 'dfs.DataNode$PacketResponder', 'PacketResponder', '1', 'for', 'block', 'terminating'], 'E11']
[2157, ['INFO', 'dfs.DataNode$PacketResponder', 'PacketResponder', '2', 'for', 'block', 'terminating'], 'E11']
[2159, ['INFO', 'dfs.DataNode$PacketResponder', 'PacketResponder', '0', 'for', 'block', 'terminating'], 'E11']
[2161, ['INFO', 'dfs.DataNode$PacketResponder', 'PacketResponder', '0', 'for', 'block', 'terminating'], 'E11']
[2162, ['INFO', 'dfs.DataNode$PacketResponder', 'PacketResponder', '2', 'for', 'block', 'terminating'], 'E11']
[2165, ['INFO', 'dfs.DataNode$PacketResponder', 'PacketResponder', '1', 'for', 'block', 'terminating'], 'E11']
[2176, ['INFO', 'dfs.DataNode$PacketResponder', 'PacketResponder', '0', 'for', 'block', 'terminating'], 'E11']
[2178, ['INFO', 'dfs.DataNode$PacketResponder', 'PacketResponder', '0', 'for', 'block', 'terminating'], 'E11']
[2180, ['INFO', 'dfs.DataNode$PacketResponder', 'PacketResponder', '1', 'for', 'block', 'terminating'], 'E11']
[2182, ['INFO', 'dfs.DataNode$PacketResponder', 'PacketResponder', '1', 'for', 'block', 'terminating'], 'E11']
[2184, ['INFO', 'dfs.DataNode$PacketResponder', 'PacketResponder', '2', 'for', 'block', 'terminating'], 'E11']
[2186, ['INFO', 'dfs.DataNode$PacketResponder', 'PacketResponder', '0', 'for', 'block', 'terminating'], 'E11']
[2188, ['INFO', 'dfs.DataNode$PacketResponder', 'PacketResponder', '1', 'for', 'block', 'terminating'], 'E11']
[2190, ['INFO', 'dfs.DataNode$PacketResponder', 'PacketResponder', '0', 'for', 'block', 'terminating'], 'E11']
[2197, ['INFO', 'dfs.DataNode$PacketResponder', 'PacketResponder', '1', 'for', 'block', 'terminating'], 'E11']
[2206, ['INFO', 'dfs.DataNode$PacketResponder', 'PacketResponder', '2', 'for', 'block', 'terminating'], 'E11']
