[6, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '91178', 'from'], 'E9']
[7, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '91178', 'from'], 'E9']
[9, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '91178', 'from'], 'E9']
[21, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '233217', 'from'], 'E9']
[23, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '233217', 'from'], 'E9']
[28, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '233217', 'from'], 'E9']
[40, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '11971', 'from'], 'E9']
[43, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '11971', 'from'], 'E9']
[45, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '11971', 'from'], 'E9']
[55, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '11977', 'from'], 'E9']
[57, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '11977', 'from'], 'E9']
[59, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '11977', 'from'], 'E9']
[2068, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2070, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2073, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2094, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2096, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2107, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
[2115, ['INFO', 'dfs.DataNode$PacketResponder', 'Received', 'block', 'of', 'size', '67108864', 'from'], 'E9']
