[10, ['INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.addStoredBlock:', 'blockMap', 'updated:', 'is', 'added', 'to', 'size', '91178'], 'E26']
[11, ['INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.addStoredBlock:', 'blockMap', 'updated:', 'is', 'added', 'to', 'size', '91178'], 'E26']
[12, ['INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.addStoredBlock:', 'blockMap', 'updated:', 'is', 'added', 'to', 'size', '91178'], 'E26']
[31, ['INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.addStoredBlock:', 'blockMap', 'updated:', 'is', 'added', 'to', 'size', '233217'], 'E26']
[33, ['INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.addStoredBlock:', 'blockMap', 'updated:', 'is', 'added', 'to', 'size', '91178'], 'E26']
[34, ['INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.addStoredBlock:', 'blockMap', 'updated:', 'is', 'added', 'to', 'size', '233217'], 'E26']
[35, ['INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.addStoredBlock:', 'blockMap', 'updated:', 'is', 'added', 'to', 'size', '91178'], 'E26']
[36, ['INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.addStoredBlock:', 'blockMap', 'updated:', 'is', 'added', 'to', 'size', '233217'], 'E26']
[49, ['INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.addStoredBlock:', 'blockMap', 'updated:', 'is', 'added', 'to', 'size', '11971'], 'E26']
[50, ['INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.addStoredBlock:', 'blockMap', 'updated:', 'is', 'added', 'to', 'size', '11971'], 'E26']
[51, ['INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.addStoredBlock:', 'blockMap', 'updated:', 'is', 'added', 'to', 'size', '11971'], 'E26']
[61, ['INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.addStoredBlock:', 'blockMap', 'updated:', 'is', 'added', 'to', 'size', '11977'], 'E26']
[62, ['INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.addStoredBlock:', 'blockMap', 'updated:', 'is', 'added', 'to', 'size', '11977'], 'E26']
[63, ['INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.addStoredBlock:', 'blockMap', 'updated:', 'is', 'added', 'to', 'size', '11977'], 'E26']
[74, ['INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.addStoredBlock:', 'blockMap', 'updated:', 'is', 'added', 'to', 'size', '91178'], 'E26']
[75, ['INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.addStoredBlock:', 'blockMap', 'updated:', 'is', 'added', 'to', 'size', '91178'], 'E26']
[156, ['INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.addStoredBlock:', 'blockMap', 'updated:', 'is', 'added', 'to', 'size', '91178'], 'E26']
[157, ['INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.addStoredBlock:', 'blockMap', 'updated:', 'is', 'added', 'to', 'size', '91178'], 'E26']
[553, ['INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.addStoredBlock:', 'blockMap', 'updated:', 'is', 'added', 'to', 'size', '91178'], 'E26']
[2076, ['INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.addStoredBlock:', 'blockMap', 'updated:', 'is', 'added', 'to', 'size', '67108864'], 'E26']
[2079, ['INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.addStoredBlock:', 'blockMap', 'updated:', 'is', 'added', 'to', 'size', '67108864'], 'E26']
[2080, ['INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.addStoredBlock:', 'blockMap', 'updated:', 'is', 'added', 'to', 'size', '67108864'], 'E26']
[2109, ['INFO', 'dfs.FSNamesystem', 'BLOCK*', 'NameSystem.addStoredBlock:', 'blockMap', 'updated:', 'is', 'added', 'to', 'size', '67108864'], 'E26']
