[16, ['INFO', 'dfs.DataNode$DataXceiver', 'Received', 'block', 'src:', 'dest:', 'of', 'size', '91178'], 'E6']
[25, ['INFO', 'dfs.DataNode$DataXceiver', 'Received', 'block', 'src:', 'dest:', 'of', 'size', '91178'], 'E6']
[65, ['INFO', 'dfs.DataNode$DataXceiver', 'Received', 'block', 'src:', 'dest:', 'of', 'size', '91178'], 'E6']
[66, ['INFO', 'dfs.DataNode$DataXceiver', 'Received', 'block', 'src:', 'dest:', 'of', 'size', '91178'], 'E6']
[77, ['INFO', 'dfs.DataNode$DataXceiver', 'Received', 'block', 'src:', 'dest:', 'of', 'size', '91178'], 'E6']
[118, ['INFO', 'dfs.DataNode$DataXceiver', 'Received', 'block', 'src:', 'dest:', 'of', 'size', '91178'], 'E6']
[428, ['INFO', 'dfs.DataNode$DataXceiver', 'Received', 'block', 'src:', 'dest:', 'of', 'size', '91178'], 'E6']
[72538, ['INFO', 'dfs.DataNode$DataXceiver', 'Received', 'block', 'src:', 'dest:', 'of', 'size', '3553474'], 'E6']
[77403, ['INFO', 'dfs.DataNode$DataXceiver', 'Received', 'block', 'src:', 'dest:', 'of', 'size', '3536364'], 'E6']
[77820, ['INFO', 'dfs.DataNode$DataXceiver', 'Received', 'block', 'src:', 'dest:', 'of', 'size', '3541870'], 'E6']
[78137, ['INFO', 'dfs.DataNode$DataXceiver', 'Received', 'block', 'src:', 'dest:', 'of', 'size', '3554062'], 'E6']
[80082, ['INFO', 'dfs.DataNode$DataXceiver', 'Received', 'block', 'src:', 'dest:', 'of', 'size', '3532360'], 'E6']
[80701, ['INFO', 'dfs.DataNode$DataXceiver', 'Received', 'block', 'src:', 'dest:', 'of', 'size', '3542320'], 'E6']
[80716, ['INFO', 'dfs.DataNode$DataXceiver', 'Received', 'block', 'src:', 'dest:', 'of', 'size', '3546138'], 'E6']
[80740, ['INFO', 'dfs.DataNode$DataXceiver', 'Received', 'block', 'src:', 'dest:', 'of', 'size', '3541408'], 'E6']
[81360, ['INFO', 'dfs.DataNode$DataXceiver', 'Received', 'block', 'src:', 'dest:', 'of', 'size', '3536732'], 'E6']
[81685, ['INFO', 'dfs.DataNode$DataXceiver', 'Received', 'block', 'src:', 'dest:', 'of', 'size', '3553162'], 'E6']
[84207, ['INFO', 'dfs.DataNode$DataXceiver', 'Received', 'block', 'src:', 'dest:', 'of', 'size', '3547168'], 'E6']
[84370, ['INFO', 'dfs.DataNode$DataXceiver', 'Received', 'block', 'src:', 'dest:', 'of', 'size', '3554220'], 'E6']
[84500, ['INFO', 'dfs.DataNode$DataXceiver', 'Received', 'block', 'src:', 'dest:', 'of', 'size', '3554220'], 'E6']
[85470, ['INFO', 'dfs.DataNode$DataXceiver', 'Received', 'block', 'src:', 'dest:', 'of', 'size', '3553190'], 'E6']
[86310, ['INFO', 'dfs.DataNode$DataXceiver', 'Received', 'block', 'src:', 'dest:', 'of', 'size', '3541326'], 'E6']
[86590, ['INFO', 'dfs.DataNode$DataXceiver', 'Received', 'block', 'src:', 'dest:', 'of', 'size', '67108864'], 'E6']
[87001, ['INFO', 'dfs.DataNode$DataXceiver', 'Received', 'block', 'src:', 'dest:', 'of', 'size', '3542788'], 'E6']
[88310, ['INFO', 'dfs.DataNode$DataXceiver', 'Received', 'block', 'src:', 'dest:', 'of', 'size', '3551036'], 'E6']
[92193, ['INFO', 'dfs.DataNode$DataXceiver', 'Received', 'block', 'src:', 'dest:', 'of', 'size', '3552287'], 'E6']
[92379, ['INFO', 'dfs.DataNode$DataXceiver', 'Received', 'block', 'src:', 'dest:', 'of', 'size', '3545196'], 'E6']
[95503, ['INFO', 'dfs.DataNode$DataXceiver', 'Received', 'block', 'src:', 'dest:', 'of', 'size', '3542288'], 'E6']
[97841, ['INFO', 'dfs.DataNode$DataXceiver', 'Received', 'block', 'src:', 'dest:', 'of', 'size', '3536976'], 'E6']
[100077, ['INFO', 'dfs.DataNode$DataXceiver', 'Received', 'block', 'src:', 'dest:', 'of', 'size', '3561367'], 'E6']
[104091, ['INFO', 'dfs.DataNode$DataXceiver', 'Received', 'block', 'src:', 'dest:', 'of', 'size', '67108864'], 'E6']
