[24, ['INFO', 'dfs.DataNode$DataTransfer', 'Transmitted', 'block', 'to'], 'E16']
[72, ['INFO', 'dfs.DataNode$DataTransfer', 'Transmitted', 'block', 'to'], 'E16']
[79, ['INFO', 'dfs.DataNode$DataTransfer', 'Transmitted', 'block', 'to'], 'E16']
[525, ['INFO', 'dfs.DataNode$DataTransfer', 'Transmitted', 'block', 'to'], 'E16']
[72563, ['INFO', 'dfs.DataNode$DataTransfer', 'Transmitted', 'block', 'to'], 'E16']
[77424, ['INFO', 'dfs.DataNode$DataTransfer', 'Transmitted', 'block', 'to'], 'E16']
[77848, ['INFO', 'dfs.DataNode$DataTransfer', 'Transmitted', 'block', 'to'], 'E16']
[78147, ['INFO', 'dfs.DataNode$DataTransfer', 'Transmitted', 'block', 'to'], 'E16']
[80102, ['INFO', 'dfs.DataNode$DataTransfer', 'Transmitted', 'block', 'to'], 'E16']
[80690, ['INFO', 'dfs.DataNode$DataTransfer', 'Transmitted', 'block', 'to'], 'E16']
[80707, ['INFO', 'dfs.DataNode$DataTransfer', 'Transmitted', 'block', 'to'], 'E16']
[80767, ['INFO', 'dfs.DataNode$DataTransfer', 'Transmitted', 'block', 'to'], 'E16']
[81383, ['INFO', 'dfs.DataNode$DataTransfer', 'Transmitted', 'block', 'to'], 'E16']
[81664, ['INFO', 'dfs.DataNode$DataTransfer', 'Transmitted', 'block', 'to'], 'E16']
[84205, ['INFO', 'dfs.DataNode$DataTransfer', 'Transmitted', 'block', 'to'], 'E16']
[84386, ['INFO', 'dfs.DataNode$DataTransfer', 'Transmitted', 'block', 'to'], 'E16']
[85545, ['INFO', 'dfs.DataNode$DataTransfer', 'Transmitted', 'block', 'to'], 'E16']
[86321, ['INFO', 'dfs.DataNode$DataTransfer', 'Transmitted', 'block', 'to'], 'E16']
[86649, ['INFO', 'dfs.DataNode$DataTransfer', 'Transmitted', 'block', 'to'], 'E16']
[86983, ['INFO', 'dfs.DataNode$DataTransfer', 'Transmitted', 'block', 'to'], 'E16']
[88244, ['INFO', 'dfs.DataNode$DataTransfer', 'Transmitted', 'block', 'to'], 'E16']
[92214, ['INFO', 'dfs.DataNode$DataTransfer', 'Transmitted', 'block', 'to'], 'E16']
[92396, ['INFO', 'dfs.DataNode$DataTransfer', 'Transmitted', 'block', 'to'], 'E16']
[95499, ['INFO', 'dfs.DataNode$DataTransfer', 'Transmitted', 'block', 'to'], 'E16']
[97843, ['INFO', 'dfs.DataNode$DataTransfer', 'Transmitted', 'block', 'to'], 'E16']
[100101, ['INFO', 'dfs.DataNode$DataTransfer', 'Transmitted', 'block', 'to'], 'E16']
[104090, ['INFO', 'dfs.DataNode$DataTransfer', 'Transmitted', 'block', 'to'], 'E16']
