[29, ['INFO', 'dfs.DataNode', 'Starting', 'thread', 'to', 'transfer', 'block', 'to', ','], 'E18']
[73, ['INFO', 'dfs.DataNode', 'Starting', 'thread', 'to', 'transfer', 'block', 'to', ','], 'E18']
[116, ['INFO', 'dfs.DataNode', 'Starting', 'thread', 'to', 'transfer', 'block', 'to', ','], 'E18']
[392, ['INFO', 'dfs.DataNode', 'Starting', 'thread', 'to', 'transfer', 'block', 'to'], 'E18']
[72371, ['INFO', 'dfs.DataNode', 'Starting', 'thread', 'to', 'transfer', 'block', 'to'], 'E18']
[77074, ['INFO', 'dfs.DataNode', 'Starting', 'thread', 'to', 'transfer', 'block', 'to'], 'E18']
[77477, ['INFO', 'dfs.DataNode', 'Starting', 'thread', 'to', 'transfer', 'block', 'to'], 'E18']
[77699, ['INFO', 'dfs.DataNode', 'Starting', 'thread', 'to', 'transfer', 'block', 'to'], 'E18']
[80001, ['INFO', 'dfs.DataNode', 'Starting', 'thread', 'to', 'transfer', 'block', 'to'], 'E18']
[80002, ['INFO', 'dfs.DataNode', 'Starting', 'thread', 'to', 'transfer', 'block', 'to'], 'E18']
[80384, ['INFO', 'dfs.DataNode', 'Starting', 'thread', 'to', 'transfer', 'block', 'to'], 'E18']
[80385, ['INFO', 'dfs.DataNode', 'Starting', 'thread', 'to', 'transfer', 'block', 'to'], 'E18']
[80778, ['INFO', 'dfs.DataNode', 'Starting', 'thread', 'to', 'transfer', 'block', 'to'], 'E18']
[81402, ['INFO', 'dfs.DataNode', 'Starting', 'thread', 'to', 'transfer', 'block', 'to'], 'E18']
[83748, ['INFO', 'dfs.DataNode', 'Starting', 'thread', 'to', 'transfer', 'block', 'to'], 'E18']
[83900, ['INFO', 'dfs.DataNode', 'Starting', 'thread', 'to', 'transfer', 'block', 'to', ','], 'E18']
[84240, ['INFO', 'dfs.DataNode', 'Starting', 'thread', 'to', 'transfer', 'block', 'to'], 'E18']
[85219, ['INFO', 'dfs.DataNode', 'Starting', 'thread', 'to', 'transfer', 'block', 'to'], 'E18']
[86203, ['INFO', 'dfs.DataNode', 'Starting', 'thread', 'to', 'transfer', 'block', 'to'], 'E18']
[86670, ['INFO', 'dfs.DataNode', 'Starting', 'thread', 'to', 'transfer', 'block', 'to'], 'E18']
[88015, ['INFO', 'dfs.DataNode', 'Starting', 'thread', 'to', 'transfer', 'block', 'to'], 'E18']
[91893, ['INFO', 'dfs.DataNode', 'Starting', 'thread', 'to', 'transfer', 'block', 'to'], 'E18']
[92232, ['INFO', 'dfs.DataNode', 'Starting', 'thread', 'to', 'transfer', 'block', 'to'], 'E18']
[95413, ['INFO', 'dfs.DataNode', 'Starting', 'thread', 'to', 'transfer', 'block', 'to'], 'E18']
[97373, ['INFO', 'dfs.DataNode', 'Starting', 'thread', 'to', 'transfer', 'block', 'to'], 'E18']
[99875, ['INFO', 'dfs.DataNode', 'Starting', 'thread', 'to', 'transfer', 'block', 'to'], 'E18']
[104021, ['INFO', 'dfs.DataNode', 'Starting', 'thread', 'to', 'transfer', 'block', 'to'], 'E18']
