[30, ['INFO', 'dfs.FSNamesystem', 'BLOCK*', 'ask', 'to', 'replicate', 'to', 'datanode(s)'], 'E25']
[60, ['INFO', 'dfs.FSNamesystem', 'BLOCK*', 'ask', 'to', 'replicate', 'to', 'datanode(s)'], 'E25']
[117, ['INFO', 'dfs.FSNamesystem', 'BLOCK*', 'ask', 'to', 'replicate', 'to', 'datanode(s)'], 'E25']
[270, ['INFO', 'dfs.FSNamesystem', 'BLOCK*', 'ask', 'to', 'replicate', 'to', 'datanode(s)'], 'E25']
[72216, ['INFO', 'dfs.FSNamesystem', 'BLOCK*', 'ask', 'to', 'replicate', 'to', 'datanode(s)'], 'E25']
[77075, ['INFO', 'dfs.FSNamesystem', 'BLOCK*', 'ask', 'to', 'replicate', 'to', 'datanode(s)'], 'E25']
[77076, ['INFO', 'dfs.FSNamesystem', 'BLOCK*', 'ask', 'to', 'replicate', 'to', 'datanode(s)'], 'E25']
[77077, ['INFO', 'dfs.FSNamesystem', 'BLOCK*', 'ask', 'to', 'replicate', 'to', 'datanode(s)'], 'E25']
[79853, ['INFO', 'dfs.FSNamesystem', 'BLOCK*', 'ask', 'to', 'replicate', 'to', 'datanode(s)'], 'E25']
[79854, ['INFO', 'dfs.FSNamesystem', 'BLOCK*', 'ask', 'to', 'replicate', 'to', 'datanode(s)'], 'E25']
[79855, ['INFO', 'dfs.FSNamesystem', 'BLOCK*', 'ask', 'to', 'replicate', 'to', 'datanode(s)'], 'E25']
[80386, ['INFO', 'dfs.FSNamesystem', 'BLOCK*', 'ask', 'to', 'replicate', 'to', 'datanode(s)'], 'E25']
[80387, ['INFO', 'dfs.FSNamesystem', 'BLOCK*', 'ask', 'to', 'replicate', 'to', 'datanode(s)'], 'E25']
[81405, ['INFO', 'dfs.FSNamesystem', 'BLOCK*', 'ask', 'to', 'replicate', 'to', 'datanode(s)'], 'E25']
[83325, ['INFO', 'dfs.FSNamesystem', 'BLOCK*', 'ask', 'to', 'replicate', 'to', 'datanode(s)'], 'E25']
[83326, ['INFO', 'dfs.FSNamesystem', 'BLOCK*', 'ask', 'to', 'replicate', 'to', 'datanode(s)'], 'E25']
[83901, ['INFO', 'dfs.FSNamesystem', 'BLOCK*', 'ask', 'to', 'replicate', 'to', 'datanode(s)'], 'E25']
[84784, ['INFO', 'dfs.FSNamesystem', 'BLOCK*', 'ask', 'to', 'replicate', 'to', 'datanode(s)'], 'E25']
[85731, ['INFO', 'dfs.FSNamesystem', 'BLOCK*', 'ask', 'to', 'replicate', 'to', 'datanode(s)'], 'E25']
[86671, ['INFO', 'dfs.FSNamesystem', 'BLOCK*', 'ask', 'to', 'replicate', 'to', 'datanode(s)'], 'E25']
[87711, ['INFO', 'dfs.FSNamesystem', 'BLOCK*', 'ask', 'to', 'replicate', 'to', 'datanode(s)'], 'E25']
[91339, ['INFO', 'dfs.FSNamesystem', 'BLOCK*', 'ask', 'to', 'replicate', 'to', 'datanode(s)'], 'E25']
[91894, ['INFO', 'dfs.FSNamesystem', 'BLOCK*', 'ask', 'to', 'replicate', 'to', 'datanode(s)'], 'E25']
[95115, ['INFO', 'dfs.FSNamesystem', 'BLOCK*', 'ask', 'to', 'replicate', 'to', 'datanode(s)'], 'E25']
[97107, ['INFO', 'dfs.FSNamesystem', 'BLOCK*', 'ask', 'to', 'replicate', 'to', 'datanode(s)'], 'E25']
[99530, ['INFO', 'dfs.FSNamesystem', 'BLOCK*', 'ask', 'to', 'replicate', 'to', 'datanode(s)'], 'E25']
[104019, ['INFO', 'dfs.FSNamesystem', 'BLOCK*', 'ask', 'to', 'replicate', 'to', 'datanode(s)'], 'E25']
